name,civilization,role,achievements,legacy_score
Aethelgard Zenith,The Great Unified Imperium,Diplomat,De-escalated severe trade conflicts through complex commercial agreements.,69
Eldrin Kaelis,The Great Valoid Imperium,Military Leader,"Successfully repelled a planetary invasion by rival coalition fleets, saving billions.",30
Sienna Dawn,The Great Consolidated Imperium,Military Leader,De-escalated potential civil conflict through decisive action against rogue factions.,46
Vesper Starlight,The Great Vesperis Imperium,Emperor,Survived three major destabilization espionage operations planned by rival empires.,50
Zephyr Nox,The Great Kaelumari Imperium,Diplomat,Successfully exposed covert espionage networks before they could trigger war.,29
Nyx Voidwalker,The Great Unified Imperium,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,92
Rylan Crown,The Great Tau-galacticis Imperium,Explorer,Mapped five previously uncharted wormhole connections in the outer galactic rim.,29
Telas Aethel,The Great Cygnan Imperium,Emperor,Survived three major destabilization espionage operations planned by rival empires.,27
Aurelia Dawn,The Great Scientific Imperium,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,74
Aurelia Storm,The Consolidated Technocracy,Diplomat,De-escalated severe trade conflicts through complex commercial agreements.,39
Lyra Thorne,The Thranari Technocracy,Scientist,Discovered ancient pre-space ruins containing lost technologies in deep space.,39
Orion Frost,The Great Allied Imperium,Emperor,Survived three major destabilization espionage operations planned by rival empires.,59
Kaelen Nox,The Consolidated Valari Systems,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,34
Lyra Crown,The Unified Technocracy,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,35
Jesper Vex,The Great Unified Imperium,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",64
Vanya Nova,The Great Theta-orionis Imperium,Military Leader,Commanded the forces that achieved victory in a legendary fleet battle in Orion Sector.,35
Taron Skyward,The Zelis AI Hegemony,Diplomat,De-escalated severe trade conflicts through complex commercial agreements.,28
Sylas Sol,The Thranari Technocracy,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,27
Nyx Sterling,The Great Consolidated Imperium,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",93
Vesper Rifts,The Consolidated Scientific Systems,Emperor,Decreed the construction of defensive platforms across key FTL chokepoint systems.,21
Sylas Nova,The Primite Star Empire,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,42
Xerxes Voidwalker,The Zylarian AI Hegemony,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",60
Elora Nova,The Unified Star Empire,Diplomat,Drafted the original charter that established the first Galactic Federation.,26
Taron Rifts,The Great Solis Imperium,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,28
Sienna Sovereign,The Great Unified Imperium,Emperor,Survived three major destabilization espionage operations planned by rival empires.,90
Nyx Starfall,The Consolidated Consolidated Systems,Diplomat,Successfully exposed covert espionage networks before they could trigger war.,58
Kael Nova,The Consolidated Unified Systems,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",45
Aethelgard Vex,The Great Consolidated Imperium,Explorer,"First to land on and survey a highly habitable prime world, enabling immediate colonization.",23
Aurelia Dawn,The Unified Technocracy,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",62
Vesper Apex,The Consolidated Aurelari Systems,Emperor,Formed a lasting defensive coalition that successfully deterred external invasions.,46
Thalia Vanguard,The Great Persean Imperium,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,55
Xerxes Rifts,The Consolidated Allied Systems,Military Leader,Commanded the forces that achieved victory in a legendary fleet battle in Perseus Sector.,78
Myra Kaelis,The Perseian AI Hegemony,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",29
Thalia Crown,The Great Unified Imperium,Scientist,Created advanced cybernetic upgrades that increased species intelligence and longevity.,57
Taron Starlight,The Scientific Technocracy,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,60
Xerxes Thorne,The Great Consolidated Imperium,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,94
Zephyr Sterling,The Allied Star Empire,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,60
Rylan Nova,The Great Cygnan Imperium,Scientist,Created advanced cybernetic upgrades that increased species intelligence and longevity.,77
Cassian Helios,The Consolidated Star Empire,Scientist,Discovered ancient pre-space ruins containing lost technologies in deep space.,58
Sariel Voidwalker,The Great Orionian Imperium,Emperor,Unified multiple warring factions under a centralized federal sovereignty.,51
Myra Valerius,The Great Unified Imperium,Military Leader,"Successfully repelled a planetary invasion by rival coalition fleets, saving billions.",53
Orion Sol,The Bulgian Star Empire,Diplomat,Negotiated a historic peace treaty ending a destructive multi-decade war.,51
Zephyr Kaelis,The Consolidated Consolidated Systems,Emperor,Decreed the construction of defensive platforms across key FTL chokepoint systems.,27
Sariel Starlight,The Allied Star Empire,Emperor,Formed a lasting defensive coalition that successfully deterred external invasions.,94
Valerius Vex,The Great Meris Imperium,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,76
Taron Voidwalker,The Consolidated Consolidated Systems,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",79
Elora Skyward,The Consolidated Kaelumex Systems,Explorer,Mapped five previously uncharted wormhole connections in the outer galactic rim.,83
Caelum Skyward,The Great Tau-galacticis Imperium,Military Leader,"Successfully repelled a planetary invasion by rival coalition fleets, saving billions.",47
Cassian Sol,The Scientific Technocracy,Scientist,Discovered ancient pre-space ruins containing lost technologies in deep space.,24
Aurelia Sovereign,The Great Kaelumari Imperium,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,90
Valerius Aethel,The Primite Star Empire,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,73
Aurelia Storm,The Orionan Technocracy,Emperor,Unified multiple warring factions under a centralized federal sovereignty.,68
Rylan Vanguard,The Great Aurelari Imperium,Diplomat,De-escalated severe trade conflicts through complex commercial agreements.,84
Cassian Sterling,The Great Consolidated Imperium,Military Leader,"Successfully repelled a planetary invasion by rival coalition fleets, saving billions.",96
Taron Zenith,The Great Scientific Imperium,Emperor,Formed a lasting defensive coalition that successfully deterred external invasions.,80
Sienna Frost,The Great Meran Imperium,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,32
Cassian Storm,The Great Allied Imperium,Emperor,Formed a lasting defensive coalition that successfully deterred external invasions.,48
Nyx Sterling,The Gamma-galacticis Technocracy,Scientist,Created advanced cybernetic upgrades that increased species intelligence and longevity.,95
Elora Vex,The Unified AI Hegemony,Military Leader,De-escalated potential civil conflict through decisive action against rogue factions.,92
Elora Starfall,The Allied Technocracy,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",89
Sylas Valerius,The Consolidated Star Empire,Emperor,Formed a lasting defensive coalition that successfully deterred external invasions.,49
Telas Rifts,The Cygnian Technocracy,Emperor,Formed a lasting defensive coalition that successfully deterred external invasions.,62
Taron Kaelis,The Great Scientific Imperium,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,61
Aethelgard Frost,The Unified AI Hegemony,Scientist,Discovered ancient pre-space ruins containing lost technologies in deep space.,34
Valerius Nova,The Unified AI Hegemony,Explorer,Mapped five previously uncharted wormhole connections in the outer galactic rim.,95
Lyra Voidwalker,The Consolidated Consolidated Systems,Scientist,Pioneered FTL research that unlocked advanced shielding modules for combat fleets.,75
Vanya Dawn,The Thranan Technocracy,Diplomat,Drafted the original charter that established the first Galactic Federation.,65
Orion Sovereign,The Consolidated Bulgite Systems,Military Leader,"Successfully repelled a planetary invasion by rival coalition fleets, saving billions.",36
Jesper Frost,The Orionite Technocracy,Diplomat,Drafted the original charter that established the first Galactic Federation.,24
Taron Ironclad,The Great Allied Imperium,Diplomat,Formed a network of trade and research agreements spanning three star sectors.,33
Eldrin Apex,The Great Aurelite Imperium,Scientist,Created advanced cybernetic upgrades that increased species intelligence and longevity.,64
Aurelia Thorne,The Consolidated Kaelumex Systems,Military Leader,Commanded the forces that achieved victory in a legendary fleet battle in Orion Sector.,77
Sariel Nox,The Great Meroid Imperium,Emperor,Unified multiple warring factions under a centralized federal sovereignty.,64
Vesper Vex,The Consolidated AI Hegemony,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,76
Thalia Vanguard,The Great Scientific Imperium,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",64
Zephyr Vanguard,The Unified Technocracy,Diplomat,Drafted the original charter that established the first Galactic Federation.,48
Valerius Valerius,The Scientific Star Empire,Emperor,Unified multiple warring factions under a centralized federal sovereignty.,60
Valerius Voidwalker,The Great Cygnite Imperium,Explorer,Mapped five previously uncharted wormhole connections in the outer galactic rim.,40
Eldrin Ironclad,The Great Unified Imperium,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,23
Dorian Skyward,The Consolidated Allied Systems,Emperor,Unified multiple warring factions under a centralized federal sovereignty.,32
Sariel Skyward,The Unified Technocracy,Diplomat,De-escalated severe trade conflicts through complex commercial agreements.,89
Lyra Nox,The Great Allied Imperium,Emperor,Formed a lasting defensive coalition that successfully deterred external invasions.,70
Aethelgard Valerius,The Unified Star Empire,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",74
Caelum Shadow,The Aurelian Star Empire,Explorer,Mapped five previously uncharted wormhole connections in the outer galactic rim.,45
Sariel Sterling,The Perseian AI Hegemony,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,30
Lyra Starlight,The Cygnan Technocracy,Explorer,Mapped five previously uncharted wormhole connections in the outer galactic rim.,53
Vanya Nova,The Great Zylarian Imperium,Explorer,"First to land on and survey a highly habitable prime world, enabling immediate colonization.",67
Kaelen Aethel,The Great Scientific Imperium,Explorer,"First to land on and survey a highly habitable prime world, enabling immediate colonization.",53
Elora Valerius,The Sigma-orionis Star Empire,Emperor,Unified multiple warring factions under a centralized federal sovereignty.,30
Sienna Frost,The Scientific AI Hegemony,Diplomat,Formed a network of trade and research agreements spanning three star sectors.,27
Rylan Crown,The Great Zylarite Imperium,Explorer,"First to land on and survey a highly habitable prime world, enabling immediate colonization.",93
Lyra Thorne,The Scientific AI Hegemony,Emperor,Formed a lasting defensive coalition that successfully deterred external invasions.,84
Zephyr Zenith,The Great Allied Imperium,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,41
Aethelgard Valerius,The Consolidated Scientific Systems,Emperor,Decreed the construction of defensive platforms across key FTL chokepoint systems.,75
Dorian Aethel,The Consolidated Unified Systems,Emperor,Survived three major destabilization espionage operations planned by rival empires.,31
Rylan Voidwalker,The Great Unified Imperium,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,86
Taron Dawn,The Great Scientific Imperium,Diplomat,Formed a network of trade and research agreements spanning three star sectors.,86
Thalia Kaelis,The Great Orionian Imperium,Diplomat,Successfully exposed covert espionage networks before they could trigger war.,95
Zephyr Frost,The Scientific Technocracy,Emperor,Formed a lasting defensive coalition that successfully deterred external invasions.,56
Thalia Aethel,The Primite Star Empire,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",93
Kaelen Sterling,The Great Scientific Imperium,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",38
Kaelen Starlight,The Aureloid AI Hegemony,Military Leader,Commanded the forces that achieved victory in a legendary fleet battle in Centauri Sector.,50
Cassian Nova,The Consolidated Technocracy,Military Leader,Successfully coordinated deep space offensives that annexed three key resource sectors.,58
Sylas Dawn,The Great Valian Imperium,Emperor,Decreed the construction of defensive platforms across key FTL chokepoint systems.,49
Vesper Sol,The Cygnian Technocracy,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,54
Sariel Sol,The Solari Star Empire,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",82
Kaelen Rifts,The Consolidated Orionite Systems,Scientist,Created advanced cybernetic upgrades that increased species intelligence and longevity.,28
Aethelgard Zenith,The Allied Star Empire,Diplomat,Negotiated a historic peace treaty ending a destructive multi-decade war.,92
Sariel Starfall,The Allied Technocracy,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",51
Kaelen Nova,The Unified AI Hegemony,Scientist,Created advanced cybernetic upgrades that increased species intelligence and longevity.,55
Myra Starlight,The Consolidated Epsilon-perseis Systems,Emperor,Decreed the construction of defensive platforms across key FTL chokepoint systems.,23
Sylas Ironclad,The Scientific Technocracy,Scientist,Discovered ancient pre-space ruins containing lost technologies in deep space.,80
Nyx Sterling,The Allied Technocracy,Military Leader,Successfully coordinated deep space offensives that annexed three key resource sectors.,31
Orion Valerius,The Great Unified Imperium,Diplomat,Drafted the original charter that established the first Galactic Federation.,47
Caelum Starfall,The Great Xenoid Imperium,Explorer,Mapped five previously uncharted wormhole connections in the outer galactic rim.,85
Sylas Kaelis,The Bulgan Technocracy,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,96
Cassian Ironclad,The Great Unified Imperium,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,55
Nyx Sol,The Great Cygnian Imperium,Scientist,Created advanced cybernetic upgrades that increased species intelligence and longevity.,79
Elora Helios,The Great Allied Imperium,Diplomat,Successfully exposed covert espionage networks before they could trigger war.,67
Lyra Crown,The Xenan Technocracy,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",28
Aurelia Voidwalker,The Meran AI Hegemony,Military Leader,Successfully coordinated deep space offensives that annexed three key resource sectors.,53
Aethelgard Rifts,The Great Consolidated Imperium,Scientist,Discovered ancient pre-space ruins containing lost technologies in deep space.,27
Caelum Voidwalker,The Great Scientific Imperium,Scientist,Pioneered FTL research that unlocked advanced shielding modules for combat fleets.,23
Cassian Skyward,The Unified Technocracy,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",24
Eldrin Apex,The Vesperian AI Hegemony,Scientist,Pioneered FTL research that unlocked advanced shielding modules for combat fleets.,88
Myra Sovereign,The Aurelis AI Hegemony,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,91
Zephyr Vanguard,The Great Unified Imperium,Military Leader,"Successfully repelled a planetary invasion by rival coalition fleets, saving billions.",91
Aurelia Thorne,The Great Allied Imperium,Military Leader,Successfully coordinated deep space offensives that annexed three key resource sectors.,48
Taron Voidwalker,The Allied Star Empire,Military Leader,Successfully coordinated deep space offensives that annexed three key resource sectors.,94
Zephyr Vanguard,The Great Unified Imperium,Diplomat,Successfully exposed covert espionage networks before they could trigger war.,94
Sylas Starfall,The Great Scientific Imperium,Emperor,Formed a lasting defensive coalition that successfully deterred external invasions.,68
Thalia Valerius,The Great Scientific Imperium,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,37
Thalia Frost,The Vesperan Technocracy,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",38
Sienna Thorne,The Unified AI Hegemony,Military Leader,"Successfully repelled a planetary invasion by rival coalition fleets, saving billions.",100
Aurelia Valerius,The Great Kaelumian Imperium,Explorer,"First to land on and survey a highly habitable prime world, enabling immediate colonization.",55
Elora Zenith,The Great Scientific Imperium,Explorer,"First to land on and survey a highly habitable prime world, enabling immediate colonization.",31
Aurelia Skyward,The Great Unified Imperium,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,81
Kaelen Storm,The Consolidated Xenian Systems,Military Leader,Successfully coordinated deep space offensives that annexed three key resource sectors.,21
Telas Crown,The Great Kaelumian Imperium,Scientist,Created advanced cybernetic upgrades that increased species intelligence and longevity.,48
Aethelgard Helios,The Primite Star Empire,Diplomat,De-escalated severe trade conflicts through complex commercial agreements.,95
Valerius Valerius,The Great Scientific Imperium,Military Leader,De-escalated potential civil conflict through decisive action against rogue factions.,78
Thalia Crown,The Consolidated Unified Systems,Military Leader,Successfully coordinated deep space offensives that annexed three key resource sectors.,82
Vanya Starlight,The Orionian Technocracy,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,48
Vesper Vex,The Meran Technocracy,Diplomat,Negotiated a historic peace treaty ending a destructive multi-decade war.,41
Jesper Shadow,The Consolidated Orionite Systems,Emperor,Unified multiple warring factions under a centralized federal sovereignty.,68
Dorian Valerius,The Great Unified Imperium,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",22
Thalia Sol,The Consolidated Scientific Systems,Emperor,Unified multiple warring factions under a centralized federal sovereignty.,90
Jesper Kaelis,The Scientific AI Hegemony,Emperor,Survived three major destabilization espionage operations planned by rival empires.,58
Caelum Rifts,The Scientific Technocracy,Diplomat,Drafted the original charter that established the first Galactic Federation.,97
Zephyr Rifts,The Consolidated Unified Systems,Diplomat,De-escalated severe trade conflicts through complex commercial agreements.,35
Taron Helios,The Great Scientific Imperium,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,97
Myra Starfall,The Unified Technocracy,Explorer,"First to land on and survey a highly habitable prime world, enabling immediate colonization.",57
Rylan Vanguard,The Scientific Technocracy,Scientist,Created advanced cybernetic upgrades that increased species intelligence and longevity.,81
Telas Vex,The Scientific Technocracy,Emperor,Formed a lasting defensive coalition that successfully deterred external invasions.,34
Aethelgard Thorne,The Scientific Technocracy,Diplomat,Negotiated a historic peace treaty ending a destructive multi-decade war.,29
Aurelia Nox,The Zelian AI Hegemony,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,53
Zephyr Sterling,The Scientific Technocracy,Emperor,Unified multiple warring factions under a centralized federal sovereignty.,57
Thalia Apex,The Great Gamma-orionis Imperium,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",25
Caelum Shadow,The Great Cygnite Imperium,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,65
Vesper Thorne,The Allied Star Empire,Military Leader,Commanded the forces that achieved victory in a legendary fleet battle in Centauri Sector.,43
Orion Sol,The Zelis AI Hegemony,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,81
Zephyr Kaelis,The Unified Technocracy,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",40
Elora Vanguard,The Great Zelex Imperium,Diplomat,Drafted the original charter that established the first Galactic Federation.,76
Sienna Nova,The Allied Technocracy,Emperor,Survived three major destabilization espionage operations planned by rival empires.,36
Zephyr Skyward,The Great Scientific Imperium,Emperor,Unified multiple warring factions under a centralized federal sovereignty.,28
Telas Dawn,The Scientific Technocracy,Diplomat,Successfully exposed covert espionage networks before they could trigger war.,93
Caelum Voidwalker,The Scientific Technocracy,Diplomat,Negotiated a historic peace treaty ending a destructive multi-decade war.,99
Caelum Apex,The Zylarian AI Hegemony,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,64
Rylan Ironclad,The Great Unified Imperium,Emperor,Formed a lasting defensive coalition that successfully deterred external invasions.,40
Sylas Sterling,The Scientific Technocracy,Explorer,"First to land on and survey a highly habitable prime world, enabling immediate colonization.",61
Cassian Valerius,The Consolidated Orionan Systems,Scientist,Pioneered FTL research that unlocked advanced shielding modules for combat fleets.,90
Xerxes Thorne,The Aureloid Star Empire,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,93
Sylas Sol,The Great Allied Imperium,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",83
Orion Skyward,The Consolidated Technocracy,Diplomat,Negotiated a historic peace treaty ending a destructive multi-decade war.,90
Taron Ironclad,The Great Allied Imperium,Military Leader,De-escalated potential civil conflict through decisive action against rogue factions.,85
Aurelia Crown,The Zelian AI Hegemony,Military Leader,Commanded the forces that achieved victory in a legendary fleet battle in Sagittarius Sector.,66
Kael Voidwalker,The Consolidated Delta-bulgis Systems,Diplomat,Formed a network of trade and research agreements spanning three star sectors.,96
Jesper Sol,The Allied Technocracy,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",48
Nyx Shadow,The Consolidated Star Empire,Military Leader,De-escalated potential civil conflict through decisive action against rogue factions.,90
Jesper Helios,The Great Solis Imperium,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,83
Zephyr Aethel,The Unified Technocracy,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,44
Sariel Sol,The Great Scientific Imperium,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,63
Kaelen Shadow,The Allied Technocracy,Diplomat,Formed a network of trade and research agreements spanning three star sectors.,35
Caelum Frost,The Great Scientific Imperium,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,83
Rylan Skyward,The Kaelumis Technocracy,Diplomat,Successfully exposed covert espionage networks before they could trigger war.,81
Jesper Frost,The Great Tau-galacticis Imperium,Scientist,Pioneered FTL research that unlocked advanced shielding modules for combat fleets.,33
Myra Starlight,The Aurelian Star Empire,Diplomat,De-escalated severe trade conflicts through complex commercial agreements.,51
Eldrin Sovereign,The Consolidated Unified Systems,Scientist,Pioneered FTL research that unlocked advanced shielding modules for combat fleets.,37
Jesper Storm,The Great Allied Imperium,Military Leader,"Successfully repelled a planetary invasion by rival coalition fleets, saving billions.",90
Sariel Ironclad,The Vesperian AI Hegemony,Military Leader,"Successfully repelled a planetary invasion by rival coalition fleets, saving billions.",64
Myra Storm,The Zylarian Technocracy,Military Leader,Successfully coordinated deep space offensives that annexed three key resource sectors.,34
Elora Frost,The Consolidated Scientific Systems,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",88
Taron Vex,The Unified Technocracy,Emperor,Survived three major destabilization espionage operations planned by rival empires.,23
Kaelen Crown,The Consolidated Allied Systems,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,54
Caelum Aethel,The Unified Technocracy,Emperor,Decreed the construction of defensive platforms across key FTL chokepoint systems.,57
Nyx Sol,The Aethelgardan AI Hegemony,Diplomat,Drafted the original charter that established the first Galactic Federation.,91
Xerxes Rifts,The Great Consolidated Imperium,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,26
Thalia Crown,The Consolidated Consolidated Systems,Diplomat,Negotiated a historic peace treaty ending a destructive multi-decade war.,26
Sariel Ironclad,The Scientific Technocracy,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",48
Sienna Apex,The Consolidated Gaeian Systems,Military Leader,"Successfully repelled a planetary invasion by rival coalition fleets, saving billions.",77
Vanya Sterling,The Consolidated Unified Systems,Diplomat,Formed a network of trade and research agreements spanning three star sectors.,35
Thalia Aethel,The Bulgian Star Empire,Military Leader,"Successfully repelled a planetary invasion by rival coalition fleets, saving billions.",36
Telas Voidwalker,The Consolidated Star Empire,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,25
Dorian Valerius,The Cygnian Technocracy,Diplomat,Formed a network of trade and research agreements spanning three star sectors.,58
Valerius Dawn,The Great Allied Imperium,Diplomat,Drafted the original charter that established the first Galactic Federation.,48
Taron Rifts,The Great Scientific Imperium,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",89
Valerius Nova,The Great Allied Imperium,Scientist,Created advanced cybernetic upgrades that increased species intelligence and longevity.,62
Lyra Starfall,The Xenoid Technocracy,Diplomat,Formed a network of trade and research agreements spanning three star sectors.,87
Zephyr Crown,The Galactician Technocracy,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",50
Kaelen Crown,The Great Zylarian Imperium,Military Leader,Commanded the forces that achieved victory in a legendary fleet battle in Centauri Sector.,68
Cassian Storm,The Merian AI Hegemony,Military Leader,De-escalated potential civil conflict through decisive action against rogue factions.,23
Myra Rifts,The Scientific Technocracy,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",25
Eldrin Rifts,The Great Allied Imperium,Emperor,Formed a lasting defensive coalition that successfully deterred external invasions.,41
Aurelia Thorne,The Consolidated Unified Systems,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,74
Rylan Dawn,The Unified Technocracy,Explorer,"First to land on and survey a highly habitable prime world, enabling immediate colonization.",29
Kael Dawn,The Great Scientific Imperium,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",31
Vanya Aethel,The Consolidated Scientific Systems,Emperor,Decreed the construction of defensive platforms across key FTL chokepoint systems.,93
Thalia Starlight,The Allied Star Empire,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",75
Orion Crown,The Great Unified Imperium,Diplomat,Successfully exposed covert espionage networks before they could trigger war.,20
Sienna Apex,The Great Vesperan Imperium,Emperor,Unified multiple warring factions under a centralized federal sovereignty.,29
Lyra Crown,The Allied Star Empire,Diplomat,De-escalated severe trade conflicts through complex commercial agreements.,31
Orion Starlight,The Consolidated Kaelumex Systems,Emperor,Decreed the construction of defensive platforms across key FTL chokepoint systems.,80
Aethelgard Apex,The Orionite Technocracy,Diplomat,Drafted the original charter that established the first Galactic Federation.,57
Caelum Apex,The Bulgan Technocracy,Military Leader,De-escalated potential civil conflict through decisive action against rogue factions.,21
Zephyr Valerius,The Great Kaelumian Imperium,Diplomat,Formed a network of trade and research agreements spanning three star sectors.,96
Lyra Starfall,The Great Vesperari Imperium,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,47
Vanya Sterling,The Great Allied Imperium,Diplomat,Drafted the original charter that established the first Galactic Federation.,52
Vanya Crown,The Consolidated Star Empire,Diplomat,Successfully exposed covert espionage networks before they could trigger war.,26
Aurelia Storm,The Great Scientific Imperium,Military Leader,Successfully coordinated deep space offensives that annexed three key resource sectors.,28
Sariel Apex,The Consolidated Consolidated Systems,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",62
Caelum Shadow,The Meroid Technocracy,Emperor,Formed a lasting defensive coalition that successfully deterred external invasions.,56
Sariel Voidwalker,The Omega-bulgis AI Hegemony,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",62
Jesper Frost,The Consolidated Zelis Systems,Diplomat,De-escalated severe trade conflicts through complex commercial agreements.,92
Thalia Sterling,The Great Kaelumian Imperium,Military Leader,"Successfully repelled a planetary invasion by rival coalition fleets, saving billions.",51
Cassian Nova,The Consolidated Unified Systems,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,81
Nyx Zenith,The Zylaran AI Hegemony,Explorer,Mapped five previously uncharted wormhole connections in the outer galactic rim.,90
Aurelia Ironclad,The Consolidated Allied Systems,Military Leader,De-escalated potential civil conflict through decisive action against rogue factions.,37
Cassian Apex,The Great Zylarian Imperium,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",29
Elora Frost,The Unified Technocracy,Diplomat,Negotiated a historic peace treaty ending a destructive multi-decade war.,47
Rylan Storm,The Cygnan Technocracy,Scientist,Pioneered FTL research that unlocked advanced shielding modules for combat fleets.,66
Sienna Frost,The Consolidated Bulgite Systems,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,37
Orion Nova,The Scientific Technocracy,Emperor,Formed a lasting defensive coalition that successfully deterred external invasions.,50
Sienna Rifts,The Scientific AI Hegemony,Explorer,"First to land on and survey a highly habitable prime world, enabling immediate colonization.",40
Vesper Apex,The Consolidated Scientific Systems,Military Leader,"Successfully repelled a planetary invasion by rival coalition fleets, saving billions.",25
Xerxes Thorne,The Great Scientific Imperium,Military Leader,Commanded the forces that achieved victory in a legendary fleet battle in Sagittarius Sector.,49
Myra Nova,The Iota-sagittariis Technocracy,Explorer,Mapped five previously uncharted wormhole connections in the outer galactic rim.,78
Aurelia Voidwalker,The Aethelgardan AI Hegemony,Diplomat,De-escalated severe trade conflicts through complex commercial agreements.,55
Orion Shadow,The Aurelari Technocracy,Military Leader,Commanded the forces that achieved victory in a legendary fleet battle in Orion Sector.,95
Orion Nox,The Unified AI Hegemony,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",65
Taron Vanguard,The Consolidated Scientific Systems,Diplomat,Successfully exposed covert espionage networks before they could trigger war.,20
