era_name,start_year,end_year,dominant_empire,major_events
Age of Expansion,482500,483500,The Consolidated Unified Systems,"Economic Collapse (Year 482891): In Year 482891, a gold rush of rare FTL fuel elements trigge... | Megastructure Completion (Year 482599): In Year 482599, a breakthrough in zero-point energy generati... | FTL Network Failure (Year 483442): In Year 483442, the FTL jump gate in Antares Prime suffered ... | Resource Catastrophe (Year 483284): In Year 483284, a catastrophic solar flare in Pollux Minor d..."
Age of Trade,483500,484000,The Scientific Technocracy,"Megastructure Completion (Year 483812): In Year 483812, a breakthrough in zero-point energy generati... | War Declaration (Year 483761): In Year 483761, a skirmish broke out in Pollux Arm between T..."
Age of Expansion,484000,485500,The Great Unified Imperium,"AI Uprising (Year 484310): In Year 484310, the FTL jump gate in Rigel Minor suffered a ... | FTL Network Failure (Year 484040): In Year 484040, a rogue AI network in The Orionan Star Empir... | AI Uprising (Year 484722): In Year 484722, a mysterious cosmic pandemic swept through O... | Defense Pact (Year 484583): In Year 484583, the The Great Unified Imperium and The Great... | Resource Catastrophe (Year 485037): In Year 485037, a catastrophic solar flare in Antares Beta d... | Megastructure Completion (Year 485372): In Year 485372, a breakthrough in zero-point energy generati..."
Age of Trade,485500,486500,The Great Unified Imperium,"Economic Collapse (Year 485670): In Year 485670, resource depletion in the Castor Nebula sect... | Refugee Crisis (Year 485832): In Year 485832, a rogue AI network in The Great Unified Impe... | Resource Catastrophe (Year 486133): In Year 486133, a rogue AI network in The Unified Technocrac... | Megastructure Completion (Year 486481): In Year 486481, The Great Scientific Imperium successfully c..."
Age of Federations,486500,487000,The Great Zylarite Imperium,"Peace Treaty Signing (Year 486799): In Year 486799, diplomatic relations between The Vesperian A... | Alliance Formation (Year 486574): In Year 486574, The Great Zylarite Imperium acted as a peace..."
Age of Expansion,487000,488000,The Scientific Technocracy,"Megastructure Completion (Year 487030): In Year 487030, the The Consolidated Unified Systems complet... | Megastructure Completion (Year 487191): In Year 487191, the The Great Gamma-orionis Imperium complet... | AI Uprising (Year 487981): In Year 487981, a rogue AI network in The Consolidated AI He... | Megastructure Completion (Year 487653): In Year 487653, the The Great Unified Imperium completed the..."
Age of Trade,488000,488500,The Great Consolidated Imperium,"Economic Collapse (Year 488369): In Year 488369, a gold rush of rare FTL fuel elements trigge... | FTL Network Failure (Year 488109): In Year 488109, a catastrophic solar flare in Pollux Sigma d..."
Age of Conflict,488500,489000,The Scientific Technocracy,"Galactic Federation (Year 488612): In Year 488612, the The Consolidated Unified Systems and The... | War Declaration (Year 488689): In Year 488689, a devastating fleet battle occurred in the P..."
Age of Colonization,489000,489500,The Great Consolidated Imperium,"Megastructure Completion (Year 489418): In Year 489418, researchers in The Scientific Technocracy ac... | Pandemic Event (Year 489486): In Year 489486, a mysterious cosmic pandemic swept through A..."
Age of Conflict,489500,490000,The Scientific Technocracy,"Megastructure Completion (Year 489832): In Year 489832, researchers in The Scientific Technocracy ac... | Planetary Invasion (Year 489898): In Year 489898, a skirmish broke out in Perseus Expanse betw..."
Age of Trade,490000,490500,The Unified Technocracy,"Scientific Breakthrough (Year 490298): In Year 490298, a breakthrough in zero-point energy generati... | Colonization (Year 490127): In Year 490127, colonial fleets from The Aurelex Star Empire..."
Age of Federations,490500,491000,The Scientific Technocracy,"Pandemic Event (Year 490545): In Year 490545, a rogue AI network in The Great Consolidated... | Megastructure Completion (Year 490627): In Year 490627, The Great Thranan Imperium successfully comp..."
Age of Colonization,491000,492000,The Unified Technocracy,"Wormhole Collapse (Year 491489): In Year 491489, a mysterious cosmic pandemic swept through C... | Megastructure Completion (Year 491176): In Year 491176, researchers in The Consolidated Unified Syst... | Megastructure Completion (Year 491683): In Year 491683, The Great Scientific Imperium successfully c... | Galactic Federation (Year 491845): In Year 491845, diplomatic relations between The Great Bulga..."
Age of Conflict,492000,492500,The Scientific Technocracy,"Megastructure Completion (Year 492244): In Year 492244, researchers in The Unified Technocracy achie... | Megastructure Completion (Year 492462): In Year 492462, The Aurelis AI Hegemony successfully complet..."
Age of Expansion,492500,493000,The Unified AI Hegemony,"FTL Network Failure (Year 492704): In Year 492704, a catastrophic solar flare in Sirius Minor d... | War Declaration (Year 492877): In Year 492877, a devastating fleet battle occurred in the R..."
Age of Conflict,493000,493500,The Scientific AI Hegemony,"AI Uprising (Year 493113): In Year 493113, a mysterious cosmic pandemic swept through C... | War Declaration (Year 493056): In Year 493056, the The Scientific AI Hegemony launched a su..."
Age of Expansion,493500,494500,The Scientific Technocracy,"Wormhole Collapse (Year 493898): In Year 493898, the FTL jump gate in Capella Sigma suffered ... | Refugee Crisis (Year 493684): In Year 493684, a catastrophic solar flare in Polaris Sigma ... | FTL Network Failure (Year 494296): In Year 494296, a rogue AI network in The Great Cygnan Imper... | FTL Network Failure (Year 494384): In Year 494384, a mysterious cosmic pandemic swept through O..."
Age of Trade,494500,495000,The Great Scientific Imperium,"Megastructure Completion (Year 494786): In Year 494786, The Gamma-galacticis Technocracy successfull... | War Declaration (Year 494839): In Year 494839, the The Unified AI Hegemony launched a surpr..."
Age of Conflict,495000,495500,The Great Allied Imperium,"FTL Network Failure (Year 495002): In Year 495002, the FTL jump gate in Aldebaran Major suffere... | Galactic Federation (Year 495265): In Year 495265, the The Consolidated Technocracy and The Con..."
Age of Federations,495500,496000,The Great Consolidated Imperium,"Resource Catastrophe (Year 495959): In Year 495959, a mysterious cosmic pandemic swept through A... | Galactic Federation (Year 495665): In Year 495665, diplomatic relations between The Consolidate..."
Age of Expansion,496000,496500,The Scientific AI Hegemony,"Wormhole Collapse (Year 496056): In Year 496056, a catastrophic solar flare in Procyon Major ... | Resource Catastrophe (Year 496146): In Year 496146, a mysterious cosmic pandemic swept through S..."
Age of Trade,496500,497000,The Scientific Technocracy,"Economic Collapse (Year 496574): In Year 496574, industrial megacorporations in The Aurelis A... | Economic Collapse (Year 496692): In Year 496692, industrial megacorporations in The Great Uni..."
Age of Colonization,497000,497500,The Great Unified Imperium,"AI Uprising (Year 497357): In Year 497357, the FTL jump gate in Rigel Sigma suffered a ... | Refugee Crisis (Year 497258): In Year 497258, a mysterious cosmic pandemic swept through C..."
Age of Expansion,497500,498000,The Great Unified Imperium,"AI Uprising (Year 497827): In Year 497827, a rogue AI network in The Scientific Technoc... | Economic Collapse (Year 497981): In Year 497981, a gold rush of rare FTL fuel elements trigge..."
Age of Collapse,498000,498500,The Great Unified Imperium,"Peace Treaty Signing (Year 498134): In Year 498134, the The Great Unified Imperium and The Aurel... | War End (Year 498204): In Year 498204, a devastating fleet battle occurred in the B..."
Age of Conflict,498500,499000,The Great Unified Imperium,"Resource Catastrophe (Year 498986): In Year 498986, a catastrophic solar flare in Vega Sigma des... | War Declaration (Year 498876): In Year 498876, the joint fleets of The Zelis AI Hegemony an..."
Age of Federations,499000,499500,The Scientific Star Empire,"AI Uprising (Year 499131): In Year 499131, a mysterious cosmic pandemic swept through A... | Galactic Federation (Year 499466): In Year 499466, the The Scientific Technocracy and The Conso..."
Age of Expansion,499500,500000,The Great Unified Imperium,"Megastructure Completion (Year 499559): In Year 499559, the The Great Persean Imperium completed the... | Megastructure Completion (Year 499673): In Year 499673, researchers in The Zelian AI Hegemony achiev..."
Age of Trade,500000,500500,The Great Unified Imperium,"Economic Collapse (Year 500236): In Year 500236, industrial megacorporations in The Consolida... | Planetary Invasion (Year 500368): In Year 500368, the joint fleets of The Great Gamma-orionis ..."
Age of Expansion,500500,503000,The Great Dominion Imperium,"AI Uprising (Year 500728): In Year 500728, the FTL jump gate in Betelgeuse Arm suffered... | Resource Catastrophe (Year 500911): In Year 500911, the FTL jump gate in Vega Prime suffered a c... | AI Uprising (Year 501417): In Year 501417, the FTL jump gate in Procyon Reach suffered ... | Resource Catastrophe (Year 501217): In Year 501217, a rogue AI network in The Great Solex Imperi... | FTL Network Failure (Year 501734): In Year 501734, a catastrophic solar flare in Rigel Nebula d... | Resource Catastrophe (Year 501941): In Year 501941, a mysterious cosmic pandemic swept through S... | AI Uprising (Year 502302): In Year 502302, a catastrophic solar flare in Sirius Sigma d... | Refugee Crisis (Year 502091): In Year 502091, a rogue AI network in The Great Unified Impe... | Wormhole Collapse (Year 502797): In Year 502797, a catastrophic solar flare in Pollux Prime d... | Megastructure Completion (Year 502652): In Year 502652, the The Consolidated Bulgite Systems complet..."
Age of Collapse,503000,503500,The Consolidated Allied Systems,"AI Uprising (Year 503491): In Year 503491, a mysterious cosmic pandemic swept through P... | Megastructure Completion (Year 503406): In Year 503406, The Consolidated Allied Systems successfully..."
Age of Expansion,503500,504000,The Great Consolidated Imperium,"AI Uprising (Year 503910): In Year 503910, a catastrophic solar flare in Orion Major de... | Trade Agreement (Year 503638): In Year 503638, a gold rush of rare FTL fuel elements trigge..."
Age of Federations,504000,504500,The Great Allied Imperium,"Economic Collapse (Year 504466): In Year 504466, a gold rush of rare FTL fuel elements trigge... | Resource Catastrophe (Year 504237): In Year 504237, a rogue AI network in The Great Allied Imper..."
Age of Expansion,504500,505000,The Consolidated Aurelari Systems,"Megastructure Completion (Year 504649): In Year 504649, researchers in The Unified AI Hegemony achie... | Pandemic Event (Year 504797): In Year 504797, the FTL jump gate in Procyon Expanse suffere..."
Age of Trade,505000,507000,The Great Scientific Imperium,"FTL Network Failure (Year 505224): In Year 505224, a rogue AI network in The Consolidated Scien... | Economic Collapse (Year 505141): In Year 505141, resource depletion in the Vega Minor sector ... | Economic Collapse (Year 505821): In Year 505821, The Unified Technocracy experienced a massiv... | Wormhole Collapse (Year 505538): In Year 505538, a rogue AI network in The Meroid Technocracy... | Economic Collapse (Year 506220): In Year 506220, a gold rush of rare FTL fuel elements trigge... | Resource Catastrophe (Year 506376): In Year 506376, a catastrophic solar flare in Centauri Arm d... | Economic Collapse (Year 506822): In Year 506822, a gold rush of rare FTL fuel elements trigge... | Economic Collapse (Year 506550): In Year 506550, industrial megacorporations in The Consolida..."
Age of Federations,507000,507500,The Scientific Technocracy,"AI Uprising (Year 507314): In Year 507314, a mysterious cosmic pandemic swept through R... | Megastructure Completion (Year 507493): In Year 507493, researchers in The Meroid Technocracy achiev..."
Age of Trade,507500,508000,The Great Scientific Imperium,"FTL Network Failure (Year 507789): In Year 507789, the FTL jump gate in Sirius Arm suffered a c... | Pandemic Event (Year 507560): In Year 507560, a catastrophic solar flare in Pollux Arm des..."
Age of Colonization,508000,508500,The Unified Technocracy,"Resource Catastrophe (Year 508423): In Year 508423, a mysterious cosmic pandemic swept through C... | Refugee Crisis (Year 508177): In Year 508177, a mysterious cosmic pandemic swept through C..."
Age of Conflict,508500,509000,The Great Unified Imperium,"Megastructure Completion (Year 508574): In Year 508574, a breakthrough in zero-point energy generati... | Planetary Invasion (Year 508769): In Year 508769, a devastating fleet battle occurred in the A..."
Age of Expansion,509000,509500,The Allied Technocracy,"War End (Year 509332): In Year 509332, a devastating fleet battle occurred in the A... | Defense Pact (Year 509499): In Year 509499, The Unified Technocracy acted as a peace med..."
Age of Federations,509500,510000,The Great Scientific Imperium,"Galactic Federation (Year 509681): In Year 509681, The Great Valari Imperium acted as a peace m... | Galactic Federation (Year 509813): In Year 509813, the The Great Scientific Imperium and The Co..."
Age of Expansion,510000,512500,The Great Scientific Imperium,"Resource Catastrophe (Year 510276): In Year 510276, a mysterious cosmic pandemic swept through V... | Orbital Battle (Year 510220): In Year 510220, the The Consolidated Star Empire launched a ... | Economic Collapse (Year 510892): In Year 510892, industrial megacorporations in The Consolida... | Wormhole Collapse (Year 510956): In Year 510956, the FTL jump gate in Perseus Nebula suffered... | Resource Catastrophe (Year 511101): In Year 511101, a mysterious cosmic pandemic swept through O... | Megastructure Completion (Year 511040): In Year 511040, the The Vesperis Star Empire completed the c... | Megastructure Completion (Year 511857): In Year 511857, a breakthrough in zero-point energy generati... | Planetary Invasion (Year 511657): In Year 511657, a skirmish broke out in Centauri Reach betwe... | AI Uprising (Year 512159): In Year 512159, a rogue AI network in The Kaelumis Technocra... | Wormhole Collapse (Year 512038): In Year 512038, a rogue AI network in The Great Valian Imper..."
Age of Conflict,512500,513000,The Great Unified Imperium,"Refugee Crisis (Year 512626): In Year 512626, the FTL jump gate in Sagittarius Minor suffe... | Planetary Invasion (Year 512682): In Year 512682, The Consolidated Unified Systems successfull..."
Age of Trade,513000,513500,The Great Cygnan Imperium,"Wormhole Collapse (Year 513364): In Year 513364, a rogue AI network in The Great Cygnan Imper... | Colony Assault (Year 513457): In Year 513457, the The Solari Technocracy launched a surpri..."
Age of Expansion,513500,514500,The Great Unified Imperium,"AI Uprising (Year 513646): In Year 513646, the FTL jump gate in Antares Prime suffered ... | Refugee Crisis (Year 513547): In Year 513547, a catastrophic solar flare in Orion Minor de... | FTL Network Failure (Year 514458): In Year 514458, a rogue AI network in The Unified Star Empir... | Economic Collapse (Year 514022): In Year 514022, industrial megacorporations in The Great Uni..."
Age of Trade,514500,515000,The Great Unified Imperium,"Economic Collapse (Year 514849): In Year 514849, resource depletion in the Aldebaran Prime se... | Pandemic Event (Year 514557): In Year 514557, a catastrophic solar flare in Antares Major ..."
Age of Expansion,515000,515500,The Scientific Technocracy,"Refugee Crisis (Year 515182): In Year 515182, a mysterious cosmic pandemic swept through A... | Refugee Crisis (Year 515262): In Year 515262, a mysterious cosmic pandemic swept through P..."
Age of Colonization,515500,516000,The Great Unified Imperium,"AI Uprising (Year 515516): In Year 515516, a mysterious cosmic pandemic swept through C... | War Declaration (Year 515580): In Year 515580, the The Solex Star Empire launched a surpris..."
Age of Trade,516000,516500,The Consolidated Scientific Systems,"Orbital Battle (Year 516048): In Year 516048, the joint fleets of The Consolidated Scienti... | Scientific Breakthrough (Year 516125): In Year 516125, the The Great Galactican Imperium completed ..."
Age of Conflict,516500,517000,The Great Unified Imperium,"Colony Assault (Year 516781): In Year 516781, the The Valite Technocracy launched a surpri... | Orbital Battle (Year 516604): In Year 516604, a skirmish broke out in Centauri Nebula betw..."
Age of Colonization,517000,517500,The Consolidated Unified Systems,"Economic Collapse (Year 517105): In Year 517105, The Consolidated Allied Systems experienced ... | War Declaration (Year 517243): In Year 517243, a devastating fleet battle occurred in the V..."
Age of Federations,517500,518000,The Consolidated Unified Systems,"Economic Collapse (Year 517945): In Year 517945, The Bulgan Technocracy experienced a massive... | Galactic Federation (Year 517742): In Year 517742, diplomatic relations between The Zylaran AI ..."
Age of Trade,518000,518500,The Scientific Technocracy,"Refugee Crisis (Year 518342): In Year 518342, a catastrophic solar flare in Betelgeuse Pri... | Colony Assault (Year 518271): In Year 518271, the joint fleets of The Unified Star Empire ..."
Age of Federations,518500,519500,The Zylarian Technocracy,"Economic Collapse (Year 518970): In Year 518970, resource depletion in the Capella Beta secto... | Galactic Federation (Year 518536): In Year 518536, The Scientific Technocracy acted as a peace ... | AI Uprising (Year 519255): In Year 519255, the FTL jump gate in Vega Prime suffered a c... | Economic Collapse (Year 519063): In Year 519063, The Unified Technocracy experienced a massiv..."
Age of Trade,519500,520000,The Great Unified Imperium,"Economic Collapse (Year 519723): In Year 519723, a gold rush of rare FTL fuel elements trigge... | Megastructure Completion (Year 519502): In Year 519502, The Allied Technocracy successfully complete..."
Age of Expansion,520000,520500,The Scientific Technocracy,"Wormhole Collapse (Year 520263): In Year 520263, a catastrophic solar flare in Antares Expans... | Megastructure Completion (Year 520362): In Year 520362, the The Consolidated Epsilon-perseis Systems..."
Age of Trade,520500,521000,The Great Unified Imperium,"Economic Collapse (Year 520724): In Year 520724, industrial megacorporations in The Great Uni... | Resource Catastrophe (Year 520587): In Year 520587, the FTL jump gate in Orion Reach suffered a ..."
Age of Federations,521000,522000,The Great Scientific Imperium,"Defense Pact (Year 521067): In Year 521067, the The Great Meroid Imperium and The Unifie... | Defense Pact (Year 521319): In Year 521319, the The Consolidated Scientific Systems and ... | Defense Pact (Year 521581): In Year 521581, the The Great Beta-bulgis Imperium and The U... | Orbital Battle (Year 521642): In Year 521642, The Sigma-orionis Star Empire successfully a..."
Age of Trade,522000,522500,The Consolidated Unified Systems,"Megastructure Completion (Year 522341): In Year 522341, researchers in The Great Consolidated Imperi... | War Declaration (Year 522078): In Year 522078, a skirmish broke out in Antares Beta between..."
Age of Expansion,522500,523500,The Great Consolidated Imperium,"Galactic Federation (Year 522896): In Year 522896, diplomatic relations between The Great Cygni... | Planetary Invasion (Year 522713): In Year 522713, a devastating fleet battle occurred in the A... | AI Uprising (Year 523134): In Year 523134, a mysterious cosmic pandemic swept through S... | Megastructure Completion (Year 523475): In Year 523475, the The Scientific Technocracy completed the..."
Age of Federations,523500,524000,The Scientific Technocracy,"Galactic Federation (Year 523788): In Year 523788, diplomatic relations between The Kaelumis Te... | Defense Pact (Year 523692): In Year 523692, diplomatic relations between The Scientific ..."
Age of Trade,524000,524500,The Scientific AI Hegemony,"AI Uprising (Year 524335): In Year 524335, a rogue AI network in The Great Scientific I... | Refugee Crisis (Year 524110): In Year 524110, a mysterious cosmic pandemic swept through A..."
Age of Colonization,524500,525000,The Great Unified Imperium,"Resource Catastrophe (Year 524576): In Year 524576, the FTL jump gate in Rigel Expanse suffered ... | Megastructure Completion (Year 524655): In Year 524655, the The Scientific Technocracy completed the..."
Age of Expansion,525000,525500,The Great Allied Imperium,"Wormhole Collapse (Year 525425): In Year 525425, a rogue AI network in The Great Allied Imper... | Galactic Federation (Year 525479): In Year 525479, diplomatic relations between The Consolidate..."
Age of Colonization,525500,526000,The Great Unified Imperium,"Economic Collapse (Year 525740): In Year 525740, industrial megacorporations in The Great Uni... | Megastructure Completion (Year 525557): In Year 525557, researchers in The Consolidated Chi-bulgis S..."
Age of Expansion,526000,526500,The Scientific Technocracy,"Wormhole Collapse (Year 526172): In Year 526172, the FTL jump gate in Polaris Expanse suffere... | War Declaration (Year 526258): In Year 526258, a devastating fleet battle occurred in the P..."
Age of Trade,526500,527000,The Consolidated Unified Systems,"Colony Assault (Year 526838): In Year 526838, the The Great Cygnite Imperium launched a su... | Peace Treaty Signing (Year 526926): In Year 526926, the The Consolidated Orionite Systems and Th..."
Age of Colonization,527000,527500,The Great Unified Imperium,"AI Uprising (Year 527235): In Year 527235, a rogue AI network in The Great Unified Impe... | Megastructure Completion (Year 527402): In Year 527402, the The Great Thranan Imperium completed the..."
Age of Expansion,527500,528000,The Great Unified Imperium,"AI Uprising (Year 527810): In Year 527810, a mysterious cosmic pandemic swept through P... | Resource Catastrophe (Year 527760): In Year 527760, a rogue AI network in The Consolidated Valar..."
Age of Trade,528000,528500,The Bulgian Star Empire,"Wormhole Collapse (Year 528148): In Year 528148, a rogue AI network in The Consolidated Zeloi... | Economic Event (Year 528060): In Year 528060, a gold rush of rare FTL fuel elements trigge..."
Age of Expansion,528500,529000,The Unified Technocracy,"AI Uprising (Year 528539): In Year 528539, a mysterious cosmic pandemic swept through O... | Megastructure Completion (Year 528946): In Year 528946, The Cygnan Technocracy successfully complete..."
Age of Trade,529000,529500,The Great Consolidated Imperium,"Economic Collapse (Year 529016): In Year 529016, industrial megacorporations in The Great Con... | War End (Year 529323): In Year 529323, a skirmish broke out in Perseus Reach betwee..."
Age of Expansion,529500,530000,The Allied Star Empire,"AI Uprising (Year 529802): In Year 529802, a mysterious cosmic pandemic swept through R... | AI Uprising (Year 529952): In Year 529952, the FTL jump gate in Antares Reach suffered ..."
Age of Conflict,530000,531000,The Consolidated Unified Systems,"Defense Pact (Year 530216): In Year 530216, the The Consolidated Beta-bulgis Systems and... | War End (Year 530316): In Year 530316, a skirmish broke out in Perseus Arm between ... | FTL Network Failure (Year 530528): In Year 530528, the FTL jump gate in Sagittarius Sigma suffe... | Economic Collapse (Year 530890): In Year 530890, resource depletion in the Arcturus Prime sec..."
Age of Expansion,531000,531500,The Allied Technocracy,"Wormhole Collapse (Year 531052): In Year 531052, a mysterious cosmic pandemic swept through C... | Megastructure Completion (Year 531268): In Year 531268, a breakthrough in zero-point energy generati..."
Age of Collapse,531500,532000,The Scientific Technocracy,"Economic Collapse (Year 531869): In Year 531869, The Nu-cygnis Star Empire experienced a mass... | Wormhole Collapse (Year 531927): In Year 531927, a catastrophic solar flare in Capella Nebula..."
Age of Trade,532000,532500,The Great Scientific Imperium,"Megastructure Completion (Year 532185): In Year 532185, a breakthrough in zero-point energy generati... | Refugee Crisis (Year 532284): In Year 532284, a mysterious cosmic pandemic swept through A..."
Age of Expansion,532500,533500,The Scientific Technocracy,"Megastructure Completion (Year 532949): In Year 532949, researchers in The Thranis Star Empire achie... | Refugee Crisis (Year 532518): In Year 532518, a rogue AI network in The Unified Star Empir... | AI Uprising (Year 533011): In Year 533011, the FTL jump gate in Centauri Expanse suffer... | Megastructure Completion (Year 533240): In Year 533240, The Great Zylarite Imperium successfully com..."
Age of Trade,533500,534500,The Great Allied Imperium,"Economic Collapse (Year 533699): In Year 533699, a gold rush of rare FTL fuel elements trigge... | AI Uprising (Year 533760): In Year 533760, the FTL jump gate in Orion Prime suffered a ... | Economic Collapse (Year 534202): In Year 534202, The Unified Technocracy experienced a massiv... | Megastructure Completion (Year 534345): In Year 534345, the The Aurelian Star Empire completed the c..."
Age of Colonization,534500,535000,The Great Scientific Imperium,"FTL Network Failure (Year 534831): In Year 534831, the FTL jump gate in Orion Expanse suffered ... | Wormhole Collapse (Year 534512): In Year 534512, a rogue AI network in The Aurelari Technocra..."
Age of Expansion,535000,535500,The Scientific Technocracy,"AI Uprising (Year 535198): In Year 535198, a catastrophic solar flare in Centauri Expan... | AI Uprising (Year 535287): In Year 535287, a mysterious cosmic pandemic swept through O..."
Age of Trade,535500,536000,The Unified Technocracy,"Deep Space Engagement (Year 535536): In Year 535536, The Vesperan Technocracy successfully annexe... | Alliance Formation (Year 535706): In Year 535706, the The Allied Star Empire and The Meran Tec..."
Age of Expansion,536000,536500,The Great Unified Imperium,"Economic Collapse (Year 536011): In Year 536011, industrial megacorporations in The Great Uni... | Megastructure Completion (Year 536196): In Year 536196, researchers in The Great Scientific Imperium..."
Age of Colonization,536500,537000,The Great Unified Imperium,"Planetary Invasion (Year 536654): In Year 536654, the joint fleets of The Great Unified Imperi... | War Declaration (Year 536776): In Year 536776, the joint fleets of The Unified AI Hegemony ..."
Age of Conflict,537000,537500,The Great Unified Imperium,"Megastructure Completion (Year 537435): In Year 537435, The Perseite AI Hegemony successfully comple... | Refugee Crisis (Year 537496): In Year 537496, a mysterious cosmic pandemic swept through R..."
Age of Federations,537500,538500,The Great Unified Imperium,"Economic Collapse (Year 537561): In Year 537561, The Great Valis Imperium experienced a massi... | War Declaration (Year 537897): In Year 537897, the joint fleets of The Great Unified Imperi... | Planetary Invasion (Year 538308): In Year 538308, a devastating fleet battle occurred in the V... | Peace Treaty Signing (Year 538094): In Year 538094, the The Great Valoid Imperium and The Great ..."
Age of Trade,538500,539000,The Great Unified Imperium,"Deep Space Engagement (Year 538548): In Year 538548, the The Thranis Star Empire launched a surpr... | Alliance Formation (Year 538617): In Year 538617, the The Zylarian AI Hegemony and The Consoli..."
Age of Colonization,539000,539500,The Great Unified Imperium,"Planetary Invasion (Year 539247): In Year 539247, The Consolidated Unified Systems successfull... | Colony Assault (Year 539496): In Year 539496, the joint fleets of The Consolidated Star Em..."
Age of Trade,539500,541000,The Scientific Technocracy,"Economic Collapse (Year 539838): In Year 539838, a gold rush of rare FTL fuel elements trigge... | Economic Collapse (Year 539553): In Year 539553, resource depletion in the Sagittarius Beta s... | Economic Collapse (Year 540219): In Year 540219, resource depletion in the Rigel Nebula secto... | Resource Catastrophe (Year 540450): In Year 540450, a rogue AI network in The Merian AI Hegemony... | Megastructure Completion (Year 540834): In Year 540834, the The Aurelian Technocracy completed the c... | Refugee Crisis (Year 540693): In Year 540693, the FTL jump gate in Vega Sigma suffered a c..."
Age of Expansion,541000,541500,The Great Unified Imperium,"Wormhole Collapse (Year 541203): In Year 541203, a mysterious cosmic pandemic swept through P... | Megastructure Completion (Year 541072): In Year 541072, the The Vesperian AI Hegemony completed the ..."
Age of Trade,541500,542000,The Great Unified Imperium,"Resource Catastrophe (Year 541759): In Year 541759, a rogue AI network in The Perseite AI Hegemo... | Alliance Formation (Year 541866): In Year 541866, the The Great Consolidated Imperium and The ..."
Age of Expansion,542000,542500,The Great Unified Imperium,"War Declaration (Year 542246): In Year 542246, The Thranis Technocracy successfully annexed... | Defense Pact (Year 542165): In Year 542165, the The Great Scientific Imperium and The Ga..."
Age of Federations,542500,543000,The Scientific Technocracy,"Megastructure Completion (Year 542957): In Year 542957, The Zylarian AI Hegemony successfully comple... | Refugee Crisis (Year 542654): In Year 542654, a rogue AI network in The Consolidated Zelis..."
Age of Expansion,543000,543500,The Great Scientific Imperium,"AI Uprising (Year 543032): In Year 543032, a rogue AI network in The Great Aurelite Imp... | Economic Collapse (Year 543211): In Year 543211, resource depletion in the Capella Nebula sec..."
Age of Collapse,543500,544000,The Great Bulgite Imperium,"AI Uprising (Year 543683): In Year 543683, a mysterious cosmic pandemic swept through C... | Wormhole Collapse (Year 543828): In Year 543828, a mysterious cosmic pandemic swept through B..."
Age of Expansion,544000,544500,The Great Scientific Imperium,"Pandemic Event (Year 544074): In Year 544074, a rogue AI network in The Allied Technocracy... | Pandemic Event (Year 544156): In Year 544156, a rogue AI network in The Aurelian Star Empi..."
Age of Federations,544500,545000,The Meroid AI Hegemony,"FTL Network Failure (Year 544885): In Year 544885, a catastrophic solar flare in Sagittarius Ex... | Resource Catastrophe (Year 544656): In Year 544656, a catastrophic solar flare in Perseus Nebula..."
Age of Expansion,545000,546000,The Consolidated Unified Systems,"Resource Catastrophe (Year 545051): In Year 545051, a catastrophic solar flare in Capella Prime ... | Galactic Federation (Year 545490): In Year 545490, The Unified Technocracy acted as a peace med... | FTL Network Failure (Year 545542): In Year 545542, a mysterious cosmic pandemic swept through P... | Colony Assault (Year 545790): In Year 545790, the The Vesperan Technocracy launched a surp..."
Age of Collapse,546000,546500,The Great Unified Imperium,"Megastructure Completion (Year 546309): In Year 546309, a breakthrough in zero-point energy generati... | Megastructure Completion (Year 546478): In Year 546478, researchers in The Great Unified Imperium ac..."
Age of Federations,546500,547500,The Great Unified Imperium,"Resource Catastrophe (Year 546647): In Year 546647, a mysterious cosmic pandemic swept through C... | Colony Assault (Year 546700): In Year 546700, a skirmish broke out in Aldebaran Minor betw... | FTL Network Failure (Year 547196): In Year 547196, a rogue AI network in The Great Zelex Imperi... | Galactic Federation (Year 547413): In Year 547413, the The Great Allied Imperium and The Aureli..."
Age of Expansion,547500,548000,The Scientific Technocracy,"Refugee Crisis (Year 547825): In Year 547825, a mysterious cosmic pandemic swept through P... | Peace Treaty Signing (Year 547587): In Year 547587, The Scientific Technocracy acted as a peace ..."
Age of Trade,548000,549000,The Great Scientific Imperium,"AI Uprising (Year 548281): In Year 548281, a catastrophic solar flare in Arcturus Minor... | FTL Network Failure (Year 548088): In Year 548088, a catastrophic solar flare in Rigel Prime de... | Economic Collapse (Year 548743): In Year 548743, industrial megacorporations in The Scientifi... | Colony Assault (Year 548985): In Year 548985, a devastating fleet battle occurred in the A..."
Age of Federations,549000,549500,The Scientific Technocracy,"Megastructure Completion (Year 549062): In Year 549062, a breakthrough in zero-point energy generati... | Defense Pact (Year 549419): In Year 549419, diplomatic relations between The Consolidate..."
Age of Colonization,549500,550000,The Great Scientific Imperium,"Galactic Federation (Year 549731): In Year 549731, diplomatic relations between The Great Sigma... | War End (Year 549986): In Year 549986, a skirmish broke out in Aldebaran Arm betwee..."
Age of Conflict,550000,550500,The Great Unified Imperium,"FTL Network Failure (Year 550293): In Year 550293, a catastrophic solar flare in Perseus Reach ... | Planetary Invasion (Year 550346): In Year 550346, the joint fleets of The Great Unified Imperi..."
